              logFC    logCPM       LR PValue FDR
YOR290C   -8.758867  4.921595 5109.866      0   0
YNR034W-A -4.990522  7.357761 3429.295      0   0
YHR136C   -4.959001  5.685498 4285.020      0   0
YOL052C-A -4.410764  7.572238 6303.343      0   0
YDR119W-A -4.349748  6.093684 3090.685      0   0
YPR160W   -4.298240 10.112332 3341.041      0   0
YBR054W   -4.073974  7.390039 2681.210      0   0
YML123C   -4.031338  8.186501 3029.029      0   0
YHR215W   -3.998340  6.333469 3716.100      0   0
YIL121W   -3.974015  7.172287 6277.763      0   0
YNL194C   -3.795465  7.037246 1965.798      0   0
YDR033W   -3.742990  9.880749 3009.134      0   0
YAR071W   -3.721510  6.447470 3168.269      0   0
YFR015C   -3.717743  9.914505 3327.325      0   0
YDL204W   -3.623864  7.793950 4038.369      0   0
YGR234W   -3.585735  7.678289 6025.675      0   0
YKL163W   -3.572928  6.780310 3382.559      0   0
YNL160W   -3.510934  8.927447 3136.045      0   0
YDR342C   -3.456761 12.817768 8024.099      0   0
YDR343C   -3.405986 12.030581 5895.307      0   0
YIL169C   -3.153022  7.091801 2649.363      0   0
YER150W   -3.067948  8.252484 1993.941      0   0
YLR327C   -3.037739  9.481847 1509.394      0   0
YOL152W   -3.031006  4.895110 1514.354      0   0
YPR149W   -2.994457  9.522298 2822.858      0   0
YIL015W   -2.927431  7.235690 2581.841      0   0
YHR087W   -2.905289  7.615725 2937.590      0   0
YLR258W   -2.852421 10.197811 1762.921      0   0
YDR077W   -2.831175 12.026098 5543.730      0   0
YDR070C   -2.786060  5.734340 1584.576      0   0
YDR461W   -2.777407  7.640644 2585.667      0   0
YHR092C   -2.717425 11.354309 2448.235      0   0
YMR105C   -2.714322 10.172858 2328.647      0   0
YER053C   -2.698471  8.042536 2198.136      0   0
YBR093C   -2.683901  6.797480 2770.791      0   0
YOL155C   -2.655681  7.498485 1864.038      0   0
YLR157C-B -2.616686  7.295274 2273.827      0   0
YGR027W-B -2.580132  7.037565 1754.271      0   0
YPL257W-B -2.575744  6.958612 1660.341      0   0
YOL103W-B -2.561879  7.260278 2158.598      0   0
YAR009C   -2.557977  6.786305 1799.725      0   0
YER138C   -2.547869  7.089811 1629.469      0   0
YHL021C   -2.518408  9.638603 1509.630      0   0
YBR067C   -2.510003  8.760495 2004.069      0   0
YLR227W-B -2.509266  6.925879 1827.679      0   0
YML039W   -2.499662  7.159612 1722.856      0   0
YJR029W   -2.490378  7.039030 1831.509      0   0
YJR027W   -2.484302  7.336772 1484.780      0   0
YFR053C   -2.468135 11.757418 1973.768      0   0
YMR250W   -2.461031  8.858284 1528.562      0   0
