I	J	ILEN	JLEN	MATCH	NGAPS	NALIG	NIDENT	%IDENT	NAS	NASAL	NRANS	RMEAN	STDEV	SCORE	PWMATCH
Q1MPW5_LAWIP/9-3	Q316I1_DESDG/9-3	354	354	2536.00	0	354	205	57.91	716.38	716.38	100	1237.65	21.60	60.12	1
Q1MPW5_LAWIP/9-3	Q72F89_DESVH/11-	354	354	2573.00	0	354	209	59.04	726.84	726.84	100	1234.32	19.81	67.56	2
Q1MPW5_LAWIP/9-3	Q6AQR5_DESPS/9-3	354	353	2348.00	1	353	177	50.14	665.16	661.76	100	1239.36	23.78	46.63	3
Q1MPW5_LAWIP/9-3	Q6API1_DESPS/9-3	354	351	2059.00	3	350	136	38.86	588.29	578.00	100	1235.73	18.31	44.96	4
Q1MPW5_LAWIP/9-3	Q2RGH3_MOOTA/9-3	354	362	2241.00	3	353	160	45.33	634.84	624.65	100	1253.77	21.21	46.55	5
Q1MPW5_LAWIP/9-3	Q2LVY3_SYNAS/9-3	354	356	2280.00	2	353	164	46.46	645.89	639.09	100	1233.86	20.27	51.60	6
Q1MPW5_LAWIP/9-3	B8FQW4_DESHD/12-	354	353	2248.00	1	353	159	45.04	636.83	633.43	100	1240.58	19.90	50.63	7
Q1MPW5_LAWIP/9-3	A1HTX9_9FIRM/9-3	354	355	2279.00	2	353	175	49.58	645.61	638.81	100	1245.93	21.86	47.25	8
Q1MPW5_LAWIP/9-3	A5FPQ9_DEHSB/9-3	354	354	2185.00	2	353	155	43.91	618.98	612.18	100	1238.25	19.32	49.01	9
Q1MPW5_LAWIP/9-3	Q97KV5_CLOAB/9-3	354	353	2199.00	1	353	154	43.63	622.95	619.55	100	1239.90	20.83	46.05	10
Q1MPW5_LAWIP/9-3	B8D1S3_HALOH/9-3	354	354	2253.00	2	353	162	45.89	638.24	631.44	100	1239.68	22.96	44.13	11
Q1MPW5_LAWIP/9-3	A7GE79_CLOBL/3-3	354	353	2092.00	1	353	139	39.38	592.63	589.24	100	1238.12	18.43	46.34	12
Q1MPW5_LAWIP/9-3	A6LXR6_CLOB8/2-3	354	357	2159.00	2	353	148	41.93	611.61	604.82	100	1241.55	20.89	43.93	13
Q1MPW5_LAWIP/9-3	Q3ABW4_CARHZ/3-3	354	356	2131.00	3	352	145	41.19	605.40	595.17	100	1240.36	20.58	43.28	14
Q1MPW5_LAWIP/9-3	A5ZMU1_9FIRM/1-3	354	349	2071.00	3	348	140	40.23	595.11	584.77	100	1227.10	20.51	41.15	15
Q1MPW5_LAWIP/9-3	A4CGN2_ROBBH/9-3	354	353	2157.00	1	353	149	42.21	611.05	607.65	100	1237.72	21.25	43.27	16
Q1MPW5_LAWIP/9-3	A5FCZ4_FLAJ1/9-3	354	350	2169.00	2	350	150	42.86	619.71	612.86	100	1234.31	21.45	43.57	17
Q1MPW5_LAWIP/9-3	Q1NVR4_9DELT/9-3	354	391	2141.00	2	354	150	42.37	604.80	598.02	100	1288.64	20.63	41.32	18
Q1MPW5_LAWIP/9-3	A6FYB1_9DELT/9-3	354	360	2120.00	3	354	145	40.96	598.87	588.70	100	1241.61	19.57	44.89	19
Q1MPW5_LAWIP/9-3	A3Z0T6_9SYNE/9-3	354	358	2149.00	2	354	146	41.24	607.06	600.28	100	1235.50	18.16	50.31	20
Q1MPW5_LAWIP/9-3	Q01R78_SOLUE/9-3	354	353	2138.00	1	353	137	38.81	605.67	602.27	100	1224.53	21.22	43.05	21
Q1MPW5_LAWIP/9-3	B4SCQ1_PELPB/9-3	354	353	2187.00	1	353	149	42.21	619.55	616.15	100	1229.48	18.44	51.93	22
Q1MPW5_LAWIP/9-3	B3EEL2_CHLL2/9-3	354	353	2139.00	1	353	143	40.51	605.95	602.55	100	1225.89	21.20	43.06	23
Q1MPW5_LAWIP/9-3	Q8KBJ3_CHLTE/9-3	354	353	2255.00	1	353	157	44.48	638.81	635.41	100	1234.31	19.00	53.73	24
Q1MPW5_LAWIP/9-3	B4S9I9_PROA2/9-3	354	353	2174.00	1	353	147	41.64	615.86	612.46	100	1235.18	21.82	43.02	25
Q1MPW5_LAWIP/9-3	Q01S96_SOLUE/9-3	354	353	2141.00	1	353	142	40.23	606.52	603.12	100	1227.32	20.00	45.67	26
Q1MPW5_LAWIP/9-3	A8LH32_FRASN/9-3	354	353	2184.00	1	353	148	41.93	618.70	615.30	100	1226.69	18.55	51.60	27
Q1MPW5_LAWIP/9-3	Q1IQZ4_KORVE/9-3	354	353	2112.00	1	353	142	40.23	598.30	594.90	100	1231.28	19.60	44.93	28
Q1MPW5_LAWIP/9-3	A0QUN9_MYCS2/9-3	354	353	2184.00	1	353	148	41.93	618.70	615.30	100	1232.57	20.09	47.35	29
Q1MPW5_LAWIP/9-3	Q2JE40_FRASC/9-3	354	353	2175.00	1	353	153	43.34	616.15	612.75	100	1229.76	19.90	47.50	30
Q1MPW5_LAWIP/9-3	B8G3N7_CHLAD/9-3	354	353	2190.00	1	353	151	42.78	620.40	617.00	100	1232.03	20.95	45.72	31
Q1MPW5_LAWIP/9-3	Q825T0_STRAW/9-3	354	353	2199.00	1	353	152	43.06	622.95	619.55	100	1228.84	17.35	55.93	32
Q1MPW5_LAWIP/9-3	Q0RN44_FRAAA/9-3	354	353	2199.00	1	353	151	42.78	622.95	619.55	100	1232.97	20.36	47.44	33
Q1MPW5_LAWIP/9-3	A6C223_9PLAN/9-3	354	353	2149.00	1	353	134	37.96	608.78	605.38	100	1229.50	15.83	58.10	34
Q1MPW5_LAWIP/9-3	Q31KK3_SYNE7/9-3	354	355	2196.00	1	354	154	43.50	620.34	616.95	100	1234.53	20.49	46.91	35
Q1MPW5_LAWIP/9-3	A3ITK3_9CHRO/9-3	354	356	2194.00	2	353	154	43.63	621.53	614.73	100	1242.83	21.29	44.67	36
Q1MPW5_LAWIP/9-3	P72620_SYNY3/9-3	354	356	2145.00	2	353	148	41.93	607.65	600.85	100	1233.09	21.49	42.43	37
Q1MPW5_LAWIP/9-3	Q3M485_ANAVT/9-3	354	357	2273.00	3	353	172	48.73	643.91	633.71	100	1238.45	21.52	48.07	38
Q1MPW5_LAWIP/9-3	A0YJ31_LYNSP/9-3	354	361	2305.00	3	353	179	50.71	652.97	642.78	100	1249.92	17.50	60.30	39
Q1MPW5_LAWIP/9-3	Q117W1_TRIEI/9-3	354	361	2285.00	3	353	176	49.86	647.31	637.11	100	1245.93	20.54	50.58	40
Q1MPW5_LAWIP/9-3	Q6NIV0_CORDI/9-3	354	354	2200.00	4	351	154	43.87	626.78	613.11	100	1230.77	20.39	47.54	41
Q1MPW5_LAWIP/9-3	A0QVU9_MYCS2/9-3	354	355	2200.00	3	353	157	44.48	623.23	613.03	100	1234.58	21.62	44.66	42
