I	J	ILEN	JLEN	MATCH	NGAPS	NALIG	NIDENT	%IDENT	NAS	NASAL	NRANS	RMEAN	STDEV	SCORE	PWMATCH
d1arba_/1-263	d2h5ca_/1-198	263	198	828.00	6	198	41	20.71	418.18	381.82	100	793.98	15.57	2.19	1
d1arba_/1-263	d1agja_/1-242	263	242	883.00	7	240	37	15.42	367.92	332.92	100	878.12	17.57	0.28	2
d1arba_/1-263	d1qtfa_/1-246	263	246	933.00	7	238	47	19.75	392.02	356.72	100	893.15	17.59	2.26	3
d1arba_/1-263	d1hpga_/1-187	263	187	797.00	9	186	42	22.58	428.49	370.43	100	769.98	12.92	2.09	4
d1arba_/1-263	d1p3ca_/1-215	263	215	890.00	9	212	53	25.00	419.81	368.87	100	841.35	15.93	3.05	5
d1arba_/1-263	d1lcya2/1-205	263	205	803.00	6	205	35	17.07	391.71	356.59	100	778.69	14.61	1.66	6
d1arba_/1-263	d2sgaa_/1-181	263	181	773.00	9	181	43	23.76	427.07	367.40	100	743.18	12.51	2.38	7
d1arba_/1-263	d3cs0a3/1-249	263	249	925.00	5	246	34	13.82	376.02	351.63	100	911.48	15.89	0.85	8
d1arba_/1-263	d1l1ja_/1-228	263	228	879.00	7	224	43	19.20	392.41	354.91	100	836.77	16.10	2.62	9
d1arba_/1-263	d2z9ia2/1-221	263	221	885.00	8	217	45	20.74	407.83	363.59	100	855.42	18.43	1.60	10
d1arba_/1-263	d2sfaa_/1-191	263	191	826.00	11	186	49	26.34	444.09	373.12	100	781.38	15.44	2.89	11
d1arba_/1-263	d3beua_/1-224	263	224	900.00	8	218	46	21.10	412.84	368.81	100	857.28	16.36	2.61	12
d1arba_/1-263	d1os8a_/1-223	263	223	876.00	10	216	50	23.15	405.56	350.00	100	855.68	16.49	1.23	13
d1arba_/1-263	d3i77a_/1-230	263	230	924.00	7	223	52	23.32	414.35	376.68	100	873.72	17.43	2.89	14
d1arba_/1-263	d2o8la_/1-216	263	216	901.00	4	216	39	18.06	417.13	394.91	100	825.88	15.73	4.77	15
d1arba_/1-263	d3lgia_/1-220	263	220	830.00	9	214	42	19.63	387.85	337.38	100	831.39	17.03	-0.08	16
d1arba_/1-263	d2qa9e_/1-185	263	185	846.00	6	185	48	25.95	457.30	418.38	100	759.75	13.77	6.26	17
d1arba_/1-263	g1gg6.1/1-240	263	240	952.00	7	231	49	21.21	412.12	375.76	100	898.08	16.80	3.21	18
d1arba_/1-263	d1pytd_/1-251	263	251	900.00	9	237	41	17.30	379.75	334.18	100	900.19	17.18	-0.01	19
d1arba_/1-263	g1kdq.1/1-226	263	226	904.00	9	216	49	22.69	418.52	368.52	100	847.28	17.91	3.17	20
d1arba_/1-263	d1eq9a_/1-222	263	222	848.00	9	218	40	18.35	388.99	339.45	100	833.90	15.93	0.89	21
d1arba_/1-263	d1sgfa_/1-228	263	228	866.00	6	223	38	17.04	388.34	356.05	100	835.18	19.94	1.55	22
d1arba_/1-263	d1sgfg_/1-237	263	237	889.00	8	232	38	16.38	383.19	341.81	100	853.05	14.70	2.45	23
d1arba_/1-263	d1autc_/1-240	263	240	897.00	9	224	48	21.43	400.45	352.23	100	865.95	19.69	1.58	24
d1arba_/1-263	g1fiz.1/1-277	263	277	972.00	11	246	46	18.70	395.12	341.46	100	933.97	17.06	2.23	25
d1arba_/1-263	g1fiw.1/1-275	263	275	986.00	10	243	49	20.16	405.76	356.38	100	943.03	19.28	2.23	26
d1arba_/1-263	d2fpza_/1-243	263	243	916.00	9	229	50	21.83	400.00	352.84	100	858.74	15.69	3.65	27
d1arba_/1-263	d1cgha_/1-224	263	224	864.00	9	218	47	21.56	396.33	346.79	100	828.55	16.93	2.09	28
d1arba_/1-263	d4k60a_/1-226	263	226	873.00	7	224	38	16.96	389.73	352.23	100	834.35	17.02	2.27	29
d1arba_/1-263	d3rp2a_/1-224	263	224	861.00	9	221	40	18.10	389.59	340.72	100	820.19	16.88	2.42	30
d1arba_/1-263	d1pfxc_/1-235	263	235	890.00	9	228	47	20.61	390.35	342.98	100	859.09	14.05	2.20	31
d1arba_/1-263	d1kigh_/1-241	263	241	901.00	10	230	50	21.74	391.74	339.57	100	873.29	17.54	1.58	32
d1arba_/1-263	d1fxya_/1-228	263	228	890.00	7	224	41	18.30	397.32	359.82	100	847.76	15.41	2.74	33
d1arba_/1-263	d3bg8a_/1-238	263	238	921.00	11	226	49	21.68	407.52	349.12	100	865.90	15.90	3.47	34
d1arba_/1-263	d1elva1/1-259	263	259	903.00	8	249	39	15.66	362.65	324.10	100	913.81	16.49	-0.66	35
